GEOID,NAME,variable,estimate,moe
36005002800,"Census Tract 28, Bronx County, New York",female,2921,355
36005002800,"Census Tract 28, Bronx County, New York",total_pop,5151,616
36005002800,"Census Tract 28, Bronx County, New York",white,51,63
36005002800,"Census Tract 28, Bronx County, New York",black,3520,559
36005002800,"Census Tract 28, Bronx County, New York",asian,0,17
36005002800,"Census Tract 28, Bronx County, New York",latino,1546,519
36005002800,"Census Tract 28, Bronx County, New York",med_inc,51138,3986
36005003100,"Census Tract 31, Bronx County, New York",male,824,157
36005003100,"Census Tract 31, Bronx County, New York",female,865,114
36005003100,"Census Tract 31, Bronx County, New York",total_pop,1689,222
36005003100,"Census Tract 31, Bronx County, New York",white,24,24
36005003100,"Census Tract 31, Bronx County, New York",black,394,145
36005003100,"Census Tract 31, Bronx County, New York",asian,74,90
36005003100,"Census Tract 31, Bronx County, New York",latino,1190,186
36005003100,"Census Tract 31, Bronx County, New York",med_inc,43255,5431
36005003300,"Census Tract 33, Bronx County, New York",male,1241,287
36005003300,"Census Tract 33, Bronx County, New York",female,2036,348
36005003300,"Census Tract 33, Bronx County, New York",total_pop,3277,430
36005003300,"Census Tract 33, Bronx County, New York",white,92,100
36005003300,"Census Tract 33, Bronx County, New York",black,995,351
36005003300,"Census Tract 33, Bronx County, New York",asian,0,12
36005003300,"Census Tract 33, Bronx County, New York",latino,1990,287
36005003300,"Census Tract 33, Bronx County, New York",med_inc,22127,5882
36005003500,"Census Tract 35, Bronx County, New York",male,1690,248
36005003500,"Census Tract 35, Bronx County, New York",female,2217,354
36005003500,"Census Tract 35, Bronx County, New York",total_pop,3907,443
36005003500,"Census Tract 35, Bronx County, New York",white,17,25
36005003500,"Census Tract 35, Bronx County, New York",black,1243,363
36005003500,"Census Tract 35, Bronx County, New York",asian,0,12
36005003500,"Census Tract 35, Bronx County, New York",latino,2647,436
36005003500,"Census Tract 35, Bronx County, New York",med_inc,31310,6819
36005003700,"Census Tract 37, Bronx County, New York",male,148,74
36005003700,"Census Tract 37, Bronx County, New York",female,102,62
36005003700,"Census Tract 37, Bronx County, New York",total_pop,250,95
36005003700,"Census Tract 37, Bronx County, New York",white,21,34
36005003700,"Census Tract 37, Bronx County, New York",black,77,47
36005003700,"Census Tract 37, Bronx County, New York",asian,0,12
36005003700,"Census Tract 37, Bronx County, New York",latino,152,85
36005003700,"Census Tract 37, Bronx County, New York",med_inc,NA,NA
36005003800,"Census Tract 38, Bronx County, New York",male,595,91
36005003800,"Census Tract 38, Bronx County, New York",female,755,143
36005003800,"Census Tract 38, Bronx County, New York",total_pop,1350,202
36005003800,"Census Tract 38, Bronx County, New York",white,0,12
36005003800,"Census Tract 38, Bronx County, New York",black,322,166
36005003800,"Census Tract 38, Bronx County, New York",asian,0,12
36005003800,"Census Tract 38, Bronx County, New York",latino,1028,201
36005003800,"Census Tract 38, Bronx County, New York",med_inc,33681,15765
36005003900,"Census Tract 39, Bronx County, New York",male,3187,592
36005003900,"Census Tract 39, Bronx County, New York",female,3073,590
36005003900,"Census Tract 39, Bronx County, New York",total_pop,6260,918
36005003900,"Census Tract 39, Bronx County, New York",white,520,347
36005003900,"Census Tract 39, Bronx County, New York",black,973,702
36005003900,"Census Tract 39, Bronx County, New York",asian,0,17
36005003900,"Census Tract 39, Bronx County, New York",latino,4767,1033
36005003900,"Census Tract 39, Bronx County, New York",med_inc,25772,11016
36005004001,"Census Tract 40.01, Bronx County, New York",male,779,114
36005004001,"Census Tract 40.01, Bronx County, New York",female,696,95
36005004001,"Census Tract 40.01, Bronx County, New York",total_pop,1475,182
36005004001,"Census Tract 40.01, Bronx County, New York",white,128,68
36005004001,"Census Tract 40.01, Bronx County, New York",black,127,63
36005004001,"Census Tract 40.01, Bronx County, New York",asian,161,75
36005004001,"Census Tract 40.01, Bronx County, New York",latino,991,183
36005004001,"Census Tract 40.01, Bronx County, New York",med_inc,54868,13585
36005004100,"Census Tract 41, Bronx County, New York",male,3020,424
36005004100,"Census Tract 41, Bronx County, New York",female,2922,579
36005004100,"Census Tract 41, Bronx County, New York",total_pop,5942,799
36005004100,"Census Tract 41, Bronx County, New York",white,102,167
36005004100,"Census Tract 41, Bronx County, New York",black,1625,824
36005004100,"Census Tract 41, Bronx County, New York",asian,12,38
36005004100,"Census Tract 41, Bronx County, New York",latino,4192,586
36005004100,"Census Tract 41, Bronx County, New York",med_inc,19643,6689
36005004200,"Census Tract 42, Bronx County, New York",male,3387,611
36005004200,"Census Tract 42, Bronx County, New York",female,4310,503
36005004200,"Census Tract 42, Bronx County, New York",total_pop,7697,818
36005004200,"Census Tract 42, Bronx County, New York",white,409,368
36005004200,"Census Tract 42, Bronx County, New York",black,2663,680
36005004200,"Census Tract 42, Bronx County, New York",asian,32,40
36005004200,"Census Tract 42, Bronx County, New York",latino,4566,797
36005004200,"Census Tract 42, Bronx County, New York",med_inc,43293,17481
36005004300,"Census Tract 43, Bronx County, New York",male,2583,346
36005004300,"Census Tract 43, Bronx County, New York",female,2969,304
36005004300,"Census Tract 43, Bronx County, New York",total_pop,5552,510
36005004300,"Census Tract 43, Bronx County, New York",white,64,47
36005004300,"Census Tract 43, Bronx County, New York",black,1472,466
36005004300,"Census Tract 43, Bronx County, New York",asian,52,77
36005004300,"Census Tract 43, Bronx County, New York",latino,3956,507
36005004300,"Census Tract 43, Bronx County, New York",med_inc,21689,5670
36005004400,"Census Tract 44, Bronx County, New York",male,1979,268
36005004400,"Census Tract 44, Bronx County, New York",female,2422,259
36005004400,"Census Tract 44, Bronx County, New York",total_pop,4401,336
36005004400,"Census Tract 44, Bronx County, New York",white,294,283
36005004400,"Census Tract 44, Bronx County, New York",black,1530,393
36005004400,"Census Tract 44, Bronx County, New York",asian,113,116
36005004400,"Census Tract 44, Bronx County, New York",latino,2415,336
36005004400,"Census Tract 44, Bronx County, New York",med_inc,17297,4496
36005004600,"Census Tract 46, Bronx County, New York",male,892,153
36005004600,"Census Tract 46, Bronx County, New York",female,1069,158
36005004600,"Census Tract 46, Bronx County, New York",total_pop,1961,200
