GEOID,NAME,med.income,popn,popn.asian,popn.black,popn.female,popn.hispanic,popn.male,popn.white
36047023800,"Census Tract 238, Kings County, New York",33780,3634,0,0,1866,85,1768,3548
36047024000,"Census Tract 240, Kings County, New York",39034,4823,6,41,2551,494,2272,4381
36047024100,"Census Tract 241, Kings County, New York",61192,2765,68,394,1488,679,1277,1888
36047024200,"Census Tract 242, Kings County, New York",63698,2868,194,0,1320,126,1548,2648
36047024300,"Census Tract 243, Kings County, New York",59779,4122,128,2103,2238,466,1884,1543
36047024400,"Census Tract 244, Kings County, New York",68516,3609,405,7,1614,295,1995,2948
36047024500,"Census Tract 245, Kings County, New York",85169,4491,403,2552,2365,322,2126,1388
36047024600,"Census Tract 246, Kings County, New York",51354,2880,897,21,1367,400,1513,1663
36047024700,"Census Tract 247, Kings County, New York",46518,2672,180,1624,1339,214,1333,609
36047024800,"Census Tract 248, Kings County, New York",49940,2653,1137,5,1304,484,1349,1192
36047024900,"Census Tract 249, Kings County, New York",70268,4018,111,2126,2228,341,1790,1419
36047025000,"Census Tract 250, Kings County, New York",53186,1853,1222,0,843,392,1010,263
36047025100,"Census Tract 251, Kings County, New York",39474,3741,91,2088,2215,562,1526,978
36047025200,"Census Tract 252, Kings County, New York",60173,5299,2104,194,2535,1080,2764,2037
36047025300,"Census Tract 253, Kings County, New York",55417,3496,156,1767,1713,499,1783,1421
36047025400,"Census Tract 254, Kings County, New York",44886,3413,1795,0,1855,198,1558,1439
36047025500,"Census Tract 255, Kings County, New York",21865,5598,122,2502,3412,3649,2186,893
36047025600,"Census Tract 256, Kings County, New York",51625,3199,2087,54,1820,184,1379,771
36047025700,"Census Tract 257, Kings County, New York",69074,2476,33,674,1128,1088,1348,1014
36047025800,"Census Tract 258, Kings County, New York",50625,4354,1723,1,2206,816,2148,2138
36047025901,"Census Tract 259.01, Kings County, New York",59762,2257,37,918,1057,723,1200,807
36047025902,"Census Tract 259.02, Kings County, New York",18167,3533,102,2024,2222,1751,1311,359
36047026000,"Census Tract 260, Kings County, New York",48214,3214,1781,0,1678,205,1536,1178
36047026100,"Census Tract 261, Kings County, New York",51885,4497,113,2171,2640,1383,1857,1267
36047026200,"Census Tract 262, Kings County, New York",65577,2425,1230,54,1161,342,1264,849
36047026300,"Census Tract 263, Kings County, New York",41875,2015,63,1288,1005,218,1010,526
36047026400,"Census Tract 264, Kings County, New York",48942,4594,2178,110,2165,999,2429,1591
36047026500,"Census Tract 265, Kings County, New York",70707,4118,92,2204,2039,869,2079,1189
36047026600,"Census Tract 266, Kings County, New York",51250,3517,2342,0,1764,416,1753,743
36047026700,"Census Tract 267, Kings County, New York",64401,4055,102,2318,2058,528,1997,1276
36047026800,"Census Tract 268, Kings County, New York",44517,3965,1483,3,2074,862,1891,1976
36047026900,"Census Tract 269, Kings County, New York",66534,3147,242,2334,1742,285,1405,556
36047027000,"Census Tract 270, Kings County, New York",50775,2139,633,0,1052,197,1087,1327
36047027100,"Census Tract 271, Kings County, New York",56136,3103,233,2281,1545,396,1558,481
36047027200,"Census Tract 272, Kings County, New York",58477,3755,1247,0,1849,1226,1906,1876
36047027300,"Census Tract 273, Kings County, New York",56786,3431,75,2627,1866,130,1565,528
36047027400,"Census Tract 274, Kings County, New York",70625,3602,1419,30,1935,625,1667,1687
36047027500,"Census Tract 275, Kings County, New York",82069,4438,277,2986,2388,312,2050,880
36047027600,"Census Tract 276, Kings County, New York",53283,3646,1326,10,1738,1257,1908,1456
36047027700,"Census Tract 277, Kings County, New York",50290,4582,44,3335,2652,555,1930,594
36047027800,"Census Tract 278, Kings County, New York",57202,3118,1505,70,1630,359,1488,1306
36047027900,"Census Tract 279, Kings County, New York",64700,3660,43,2728,1846,335,1814,611
36047028000,"Census Tract 280, Kings County, New York",75677,1829,771,122,824,300,1005,811
36047028100,"Census Tract 281, Kings County, New York",31682,4764,147,2580,2814,1321,1950,1065
36047028200,"Census Tract 282, Kings County, New York",67212,3762,1972,178,1953,365,1809,1335
36047028300,"Census Tract 283, Kings County, New York",29306,3863,73,1834,1920,1415,1943,1151
36047028400,"Census Tract 284, Kings County, New York",61331,3532,1271,31,1662,685,1870,1814
36047028501,"Census Tract 285.01, Kings County, New York",87778,454,51,23,169,278,285,181
36047028502,"Census Tract 285.02, Kings County, New York",23899,3205,154,2048,1901,1349,1304,92
36047028600,"Census Tract 286, Kings County, New York",40325,5110,1218,84,2606,892,2504,2572
36047028700,"Census Tract 287, Kings County, New York",40969,3093,368,1684,1660,730,1433,812
36047028800,"Census Tract 288, Kings County, New York",55625,3836,1288,19,1767,1102,2069,1581
36047028900,"Census Tract 289, Kings County, New York",44313,3619,113,2096,1726,970,1893,752
36047029000,"Census Tract 290, Kings County, New York",44318,3580,917,0,1829,289,1751,2268
36047029100,"Census Tract 291, Kings County, New York",80526,2991,11,2012,1630,440,1361,746
36047029200,"Census Tract 292, Kings County, New York",49145,3033,959,92,1487,655,1546,1478
36047029300,"Census Tract 293, Kings County, New York",42238,3437,186,2112,1904,744,1533,688
36047029400,"Census Tract 294, Kings County, New York",57895,2474,701,206,1271,296,1203,1444
36047029500,"Census Tract 295, Kings County, New York",60881,4160,202,2660,2282,315,1878,965
36047029600,"Census Tract 296, Kings County, New York",56250,5849,1955,69,3034,924,2815,3196
36047029700,"Census Tract 297, Kings County, New York",70556,4253,56,3263,2260,207,1993,677
36047029800,"Census Tract 298, Kings County, New York",55060,3794,1337,139,1951,759,1843,1589
36047029900,"Census Tract 299, Kings County, New York",50144,2941,64,2036,1571,746,1370,281
36047030000,"Census Tract 300, Kings County, New York",52663,4207,1947,208,2082,950,2125,1274
36047030100,"Census Tract 301, Kings County, New York",49196,2963,19,2585,1659,465,1304,217
36047030200,"Census Tract 302, Kings County, New York",65000,4448,2594,77,2360,139,2088,1687
36047030300,"Census Tract 303, Kings County, New York",38571,4914,55,3867,2808,1170,2106,224
36047030400,"Census Tract 304, Kings County, New York",41017,4189,1647,137,2302,597,1887,1708
36047030500,"Census Tract 305, Kings County, New York",85985,6528,311,2208,3346,914,3182,3316
36047030600,"Census Tract 306, Kings County, New York",50833,1736,782,7,933,252,803,773
36047030700,"Census Tract 307, Kings County, New York",24502,5954,0,4879,3225,1218,2729,485
36047030800,"Census Tract 308, Kings County, New York",47461,1980,475,25,936,198,1044,1435
36047030900,"Census Tract 309, Kings County, New York",46309,2405,119,1924,1344,286,1061,152
36047031100,"Census Tract 311, Kings County, New York",37014,2924,30,2259,1605,406,1319,285
36047031300,"Census Tract 313, Kings County, New York",51818,5055,108,3754,2616,784,2439,894
36047031400,"Census Tract 314, Kings County, New York",80439,4978,1390,24,2623,268,2355,3450
36047031500,"Census Tract 315, Kings County, New York",63313,4970,218,2216,2379,653,2591,1975
36047031701,"Census Tract 317.01, Kings County, New York",78750,3805,172,2072,2056,267,1749,1291
36047031702,"Census Tract 317.02, Kings County, New York",78355,3315,172,1519,1751,425,1564,1221
36047031900,"Census Tract 319, Kings County, New York",55357,3141,25,1512,1722,202,1419,1454
36047032100,"Census Tract 321, Kings County, New York",57574,5488,175,3431,2837,519,2651,1256
36047032300,"Census Tract 323, Kings County, New York",77645,3506,24,2362,2020,332,1486,988
36047032500,"Census Tract 325, Kings County, New York",51721,6076,158,4934,3210,442,2866,600
36047032600,"Census Tract 326, Kings County, New York",23470,6730,831,2865,4068,1993,2662,1499
36047032700,"Census Tract 327, Kings County, New York",55795,2544,100,1588,1435,469,1109,621
36047032800,"Census Tract 328, Kings County, New York",41353,2688,810,952,1469,581,1219,455
36047032900,"Census Tract 329, Kings County, New York",44922,6105,110,3157,3459,609,2646,2427
36047033000,"Census Tract 330, Kings County, New York",22933,5006,411,2499,2686,1186,2320,1404
36047033100,"Census Tract 331, Kings County, New York",40216,4058,0,1452,1948,155,2110,2596
36047033300,"Census Tract 333, Kings County, New York",49444,4547,10,1148,2495,133,2052,3333
36047033500,"Census Tract 335, Kings County, New York",68036,3034,29,733,1362,50,1672,2150
36047033600,"Census Tract 336, Kings County, New York",82850,4443,315,256,2258,448,2185,3655
36047033700,"Census Tract 337, Kings County, New York",54006,3856,139,1428,2093,734,1763,1670
36047033900,"Census Tract 339, Kings County, New York",40417,4538,391,3054,2276,217,2262,918
36047034000,"Census Tract 340, Kings County, New York",21224,2050,145,829,1175,476,875,960
36047034100,"Census Tract 341, Kings County, New York",51250,3056,45,2177,1505,198,1551,656
36047034200,"Census Tract 342, Kings County, New York",17932,6064,190,2219,3654,1756,2410,2481
36047034300,"Census Tract 343, Kings County, New York",33385,5163,28,3825,3262,1044,1901,724
36047034500,"Census Tract 345, Kings County, New York",44483,3108,16,2156,1630,232,1478,504
36047034700,"Census Tract 347, Kings County, New York",43849,3350,93,2966,1945,443,1405,142
36047034800,"Census Tract 348, Kings County, New York",54405,2885,666,107,1321,1397,1564,875
36047034900,"Census Tract 349, Kings County, New York",41061,6145,105,4861,3490,589,2655,600
36047035000,"Census Tract 350, Kings County, New York",42102,3124,0,18,1707,95,1417,3030
36047035100,"Census Tract 351, Kings County, New York",44624,4650,92,2839,2729,883,1921,1128
36047035200,"Census Tract 352, Kings County, New York",14167,1254,72,235,739,181,515,855
36047035300,"Census Tract 353, Kings County, New York",47321,5407,166,3412,3007,824,2400,1326
36047035400,"Census Tract 354, Kings County, New York",50599,5765,0,55,3260,396,2505,5603
36047035500,"Census Tract 355, Kings County, New York",51875,5631,0,3972,2973,672,2658,1206
36047035601,"Census Tract 356.01, Kings County, New York",32111,2834,0,170,1573,102,1261,2570
